,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
139,Faya,100,SA,1595190325,53,18.39,42.45,75.2,6.93
140,São João da Barra,0,BR,1595190325,69,-21.64,-41.05,75.2,16.11
141,Matara,100,LK,1595190083,85,5.95,80.54,78.89,8.3
142,Brae,2,GB,1595190245,87,60.4,-1.35,53.6,5.82
143,Port Alfred,0,ZA,1595190311,82,-33.59,26.89,61.11,12.84
144,Airai,49,TL,1595190188,64,-8.93,125.41,53.71,2.73
145,Ligayan,99,PH,1595190325,70,4.65,119.47,84.07,5.97
146,Broome,1,US,1595190325,43,42.25,-75.83,91.99,11.41
147,Korsholm,100,FI,1595190325,68,63.11,21.68,66.99,5.82
148,Mariehamn,100,AX,1595190326,77,60.1,19.93,66.2,8.05
149,Mount Gambier,40,AU,1595190039,87,-37.83,140.77,44.6,8.05
150,Madimba,20,TZ,1595190326,88,-10.4,40.33,69.8,10.29
151,Tuktoyaktuk,90,CA,1595190139,87,69.45,-133.04,42.8,2.24
152,Hay River,75,CA,1595190251,57,60.82,-115.8,75.2,4.7
153,Faanui,57,PF,1595190047,83,-16.48,-151.75,77.07,21.68
154,Muriwai Beach,29,NZ,1595190326,96,-36.82,174.45,52.0,9.24
155,Acapulco de Juárez,40,MX,1595190326,74,16.86,-99.89,87.8,9.17
156,Atyrau,0,KZ,1595190326,34,47.12,51.88,78.8,6.71
157,Oromocto,40,CA,1595190326,65,45.84,-66.48,82.4,8.05
158,Bandarbeyla,28,SO,1595190090,58,9.49,50.81,81.19,25.95
159,Kununurra,0,AU,1595190327,42,-15.77,128.73,59.0,1.12
160,Lavrentiya,28,RU,1595190230,64,65.58,-171.0,48.81,10.51
161,Aklavik,90,CA,1595190327,93,68.22,-135.01,46.4,3.36
162,Lukovetskiy,0,RU,1595190307,93,64.3,41.92,57.2,4.47
163,Sterling,40,US,1595190264,44,39.01,-77.43,99.0,4.7
164,Hofn,75,IS,1595190198,50,64.25,-15.21,57.2,5.82
165,Hässleholm,84,SE,1595190327,93,56.16,13.77,69.01,2.24
166,Litein,93,KE,1595190327,92,-0.58,35.19,52.11,2.42
167,Cherskiy,0,RU,1595190327,53,68.75,161.3,67.05,8.03
168,Leticia,75,CO,1595190328,70,-4.22,-69.94,87.8,3.36
169,Simnas,100,LT,1595190328,72,54.4,23.65,66.2,4.7
170,Chui,100,UY,1595190052,81,-33.7,-53.46,69.84,6.49
171,Yar-Sale,0,RU,1595190064,86,66.83,70.83,47.55,8.48
172,General Pico,100,AR,1595190123,67,-35.66,-63.76,63.63,6.93
173,Baykit,0,RU,1595190328,84,61.67,96.37,45.45,1.9
174,Bayangol,0,RU,1595190328,90,50.7,103.47,39.7,2.33
175,Yerbogachën,99,RU,1595190308,87,61.28,108.01,46.15,1.25
176,Egvekinot,0,RU,1595190328,66,66.32,-179.17,43.9,6.55
177,Kieta,1,PG,1595190328,77,-6.22,155.63,77.02,4.81
178,Hilo,1,US,1595190328,62,19.73,-155.09,84.2,6.93
179,Pevek,0,RU,1595190328,58,69.7,170.31,46.06,2.86
180,Talnakh,92,RU,1595190316,81,69.49,88.4,48.2,17.9
181,Nhulunbuy,46,AU,1595190329,78,-12.23,136.77,71.6,5.82
182,Shwebo,100,MM,1595190329,90,22.57,95.7,77.52,11.34
183,Bragadiru,40,RO,1595190329,93,44.37,25.98,69.01,5.82
184,Mazamari,25,PE,1595190329,30,-11.33,-74.53,91.42,1.12
185,Misratah,0,LY,1595190329,72,32.38,15.09,77.07,9.82
186,São Fidélis,16,BR,1595190329,69,-21.65,-41.75,75.2,16.11
187,Provideniya,75,RU,1595190330,66,64.38,-173.3,53.6,2.24
188,Carnarvon,0,AU,1595190330,87,-24.87,113.63,48.2,6.93
189,Thompson,75,CA,1595190326,36,55.74,-97.86,77.0,11.41
190,Port Elizabeth,0,ZA,1595190156,93,-33.92,25.57,55.4,3.36
191,Neepawa,75,CA,1595190330,53,50.23,-99.47,71.6,9.17
192,Coquimbo,75,CL,1595190146,87,-29.95,-71.34,55.4,10.29
193,Delta del Tigre,100,UY,1595190330,61,-34.76,-56.39,77.0,8.05
194,Turbat,81,PK,1595190331,68,26.0,63.04,88.18,7.58
195,Teya,100,RU,1595190331,76,60.38,92.63,54.0,2.77
196,Vardø,75,NO,1595190331,93,70.37,31.11,55.4,10.29
197,Mandalgovi,100,MN,1595190331,47,45.76,106.27,58.39,8.52
198,Taoudenni,95,ML,1595190319,13,22.68,-3.98,105.76,2.06
199,Nabire,34,ID,1595190331,83,-3.37,135.48,74.91,3.42
200,Lagoa,15,PT,1595190059,75,39.05,-27.98,69.42,7.09
201,Champerico,40,GT,1595190331,63,14.3,-91.92,91.4,11.41
202,Pisco,14,PE,1595190248,68,-13.7,-76.22,68.0,14.99
203,Bathsheba,40,BB,1595190057,62,13.22,-59.52,86.0,14.99
204,Saskylakh,93,RU,1595190331,78,71.92,114.08,51.55,10.16
205,Samarai,100,PG,1595190332,85,-10.62,150.67,76.01,14.76
206,Carutapera,100,BR,1595190111,76,-1.2,-46.02,80.55,9.01
207,Sørland,20,NO,1595190102,76,67.67,12.69,57.2,10.29
208,Avarua,98,CK,1595190332,78,-21.21,-159.78,77.0,14.99
209,Ilulissat,100,GL,1595190245,50,69.22,-51.1,53.6,2.24
210,Richards Bay,0,ZA,1595190332,85,-28.78,32.04,60.39,4.23
211,Salalah,75,OM,1595190275,94,17.02,54.09,78.8,3.36
212,Makakilo City,75,US,1595190333,58,21.35,-158.09,86.0,9.17
213,Iranshahr,40,IR,1595190333,30,27.2,60.68,96.8,16.11
214,Morón,98,AR,1595190333,69,-34.65,-58.62,75.99,4.7
215,Marzuq,67,YE,1595190333,50,14.4,46.47,78.91,8.61
216,Okato,0,NZ,1595190104,77,-39.2,173.88,51.01,8.01
217,Roald,90,NO,1595190334,82,62.58,6.13,57.0,3.36
218,Curup,94,ID,1595190334,94,-3.47,102.53,68.97,3.36
219,Itacaré,40,BR,1595190334,61,-14.28,-39.0,80.6,11.41
220,Grand Gaube,55,MU,1595190134,67,-20.01,57.66,68.0,10.0
221,Sur,71,OM,1595190081,76,22.57,59.53,86.14,12.97
222,Raudeberg,75,NO,1595190335,76,61.99,5.14,55.4,8.05
223,Laguna,1,US,1595190040,35,38.42,-121.42,86.0,10.29
224,Lompoc,6,US,1595190197,77,34.64,-120.46,68.0,10.29
225,Vila,0,PT,1595190335,70,42.03,-8.16,75.0,1.01
226,Bayir,0,TR,1595190335,78,37.27,28.22,73.4,1.61
227,Klaksvík,100,FO,1595190335,81,62.23,-6.59,48.2,12.75
228,Tiznit Province,0,MA,1595190328,30,29.58,-9.5,85.12,2.98
229,Hornepayne,100,CA,1595190335,68,49.21,-84.77,69.85,13.49
230,Leningradskiy,59,RU,1595190336,80,69.38,178.42,37.27,4.88
231,Clyde River,20,CA,1595190252,81,70.47,-68.59,46.4,9.17
232,Rio Grande,84,BR,1595190124,48,-32.03,-52.1,84.2,4.7
233,Palmer,20,US,1595190336,32,42.16,-72.33,96.8,9.17
234,Port-Cartier,40,CA,1595190336,54,50.03,-66.87,78.8,10.29
235,São Filipe,88,CV,1595190336,81,14.9,-24.5,77.56,7.14
236,Neiafu,75,TO,1595190336,94,-18.65,-173.98,69.8,17.22
237,Chicama,6,PE,1595190336,58,-7.84,-79.15,70.66,11.18
238,Nālūt,0,LY,1595190336,44,30.33,10.85,81.79,27.69
239,High Level,75,CA,1595190336,82,58.52,-117.14,62.6,3.36
240,Beringovskiy,44,RU,1595190059,83,63.05,179.32,45.48,12.44
241,Touros,40,BR,1595190336,74,-5.2,-35.46,80.6,9.17
242,Iqaluit,90,CA,1595190337,93,63.75,-68.51,46.4,5.82
243,Mikkeli,100,FI,1595190337,74,61.69,27.27,66.99,2.35
244,Timbiquí,71,CO,1595190337,80,2.77,-77.67,81.88,9.82
245,Saint Anthony,1,US,1595190211,37,45.02,-93.22,84.0,20.8
246,Birin,100,NP,1595190337,100,26.89,88.07,63.41,2.24
247,Leshukonskoye,0,RU,1595190337,64,64.9,45.76,57.15,3.89
248,Kaihua,100,CN,1595190337,93,23.37,104.28,65.98,3.22
249,Birao,100,CF,1595190337,92,10.28,22.79,70.92,0.94
250,Adrar,17,MR,1595190051,14,20.5,-10.07,100.85,6.82
251,Hamilton,75,US,1595190286,52,39.18,-84.53,96.01,12.75
252,Owando,100,CG,1595190338,87,-0.48,15.9,73.65,2.86
253,Eftimie Murgu,23,RO,1595190338,88,44.9,22.09,61.0,3.58
254,Olinda,40,BR,1595190338,78,-8.01,-34.86,78.8,10.29
255,Longyearbyen,75,SJ,1595190286,87,78.22,15.64,44.6,13.87
256,Moscow,98,RU,1595190141,100,55.75,37.62,64.99,2.24
257,Yarmouth,1,US,1595190295,69,41.71,-70.23,82.4,14.99
258,Orcopampa,62,PE,1595190338,25,-15.27,-72.34,61.57,6.31
259,Borogontsy,38,RU,1595190331,87,62.67,131.17,66.63,5.68
260,Dzidzantun,65,MX,1595190338,53,21.25,-89.05,90.36,7.67
261,Baytown,61,US,1595190338,62,29.74,-94.98,93.0,9.42
262,Tuatapere,89,NZ,1595190339,83,-46.13,167.68,39.0,3.0
263,Rurrenabaque,35,BO,1595190339,42,-14.44,-67.53,90.45,5.39
264,Birjand,0,IR,1595190339,13,32.87,59.22,73.4,9.17
265,Vila do Maio,40,CV,1595190339,74,15.13,-23.22,80.6,6.93
266,Hvide Sande,58,DK,1595190339,80,56.0,8.13,59.0,1.01
267,Spokane,1,US,1595190339,25,47.62,-117.37,86.0,3.36
268,Panama City,40,PA,1595190335,70,8.99,-79.52,91.4,5.82
269,Valparaíso,75,CL,1595190340,100,-33.04,-71.63,59.0,6.93
270,Ribeira Grande,75,PT,1595190340,73,38.52,-28.7,71.6,8.05
271,Sarangani,88,PH,1595190340,66,5.4,125.46,84.09,3.53
272,Emerald,0,AU,1595190244,81,-23.53,148.17,50.0,3.36
273,Coos Bay,1,US,1595190340,72,43.37,-124.22,80.01,24.16
274,Sitka,90,US,1595190079,93,57.05,-135.33,55.4,10.29
275,Marabu,40,MY,1595190340,100,4.41,114.01,78.01,3.36
276,Dunedin,16,NZ,1595190102,82,-45.87,170.5,42.01,10.0
277,Fortuna,20,US,1595190061,68,40.6,-124.16,66.99,10.29
278,Kloulklubed,75,PW,1595190340,88,7.04,134.26,77.0,8.14
279,Nanortalik,4,GL,1595190076,74,60.14,-45.24,51.04,3.67
280,Yairipok,100,IN,1595190341,95,24.67,94.07,71.51,1.95
281,Dingle,55,PH,1595190341,88,11.0,122.67,75.2,3.53
282,Ambon City,65,ID,1595190234,15,-3.7,128.18,78.01,11.74
283,Weatherford,62,US,1595190341,52,32.76,-97.8,93.99,4.0
284,Amga,16,RU,1595190341,93,60.9,131.96,67.46,2.91
285,Kitimat,92,CA,1595190341,69,54.05,-128.65,70.0,1.7
286,Vila Franca do Campo,75,PT,1595190093,68,37.72,-25.43,71.6,11.41
287,Souillac,40,MU,1595190341,72,-20.52,57.52,68.0,12.75
288,Yumen,90,CN,1595190341,18,40.28,97.2,75.99,6.58
289,Hermiston,1,US,1595190276,27,45.84,-119.29,93.0,4.7
290,Ranau,20,MY,1595190342,94,5.95,116.66,75.2,4.7
291,Xuzhou,0,CN,1595190342,88,34.18,117.16,69.22,3.98
292,Bud,90,US,1595190342,73,39.45,-86.18,87.01,9.17
293,Mandera,90,KE,1595190342,61,3.94,41.87,79.29,20.2
294,Cayenne,75,GF,1595190342,74,4.93,-52.33,84.2,8.05
295,Ancud,75,CL,1595190070,100,-41.87,-73.82,51.01,6.93
296,Yuzhne,2,UA,1595190217,56,46.62,31.1,71.6,4.32
297,Lourdes,0,FR,1595190342,73,43.1,-0.05,71.6,5.82
298,Kilifi,20,KE,1595190342,73,-3.63,39.85,77.0,9.17
299,Fort Saint James,8,CA,1595190342,42,54.43,-124.25,70.93,8.55
300,Port Hardy,40,CA,1595190208,68,50.7,-127.42,66.2,17.22
301,Wewak,25,PG,1595190342,89,-3.55,143.63,75.9,5.75
302,Shelburne,20,CA,1595190343,78,44.08,-80.2,80.6,8.05
303,Grenville,20,GD,1595190176,74,12.12,-61.62,86.0,20.8
304,Haines Junction,100,CA,1595190071,51,60.75,-137.51,61.39,7.58
305,Ulety,100,RU,1595190343,70,51.36,112.48,48.43,8.86
306,Nome,90,US,1595190052,66,64.5,-165.41,54.0,9.17
307,Stara Vyzhivka,1,UA,1595190343,89,51.44,24.44,62.71,5.77
308,Sittwe,100,MM,1595190343,82,20.15,92.9,81.7,4.47
309,Mattru,100,SL,1595190343,95,7.62,-11.83,73.54,3.83
310,Jinxiang,100,CN,1595190343,84,22.86,115.7,82.29,8.16
311,Moose Factory,75,CA,1595190343,88,51.26,-80.61,75.2,5.82
312,Urcos,40,PE,1595190344,10,-13.69,-71.62,71.6,6.93
313,Rio de Janeiro,0,BR,1595190344,64,-22.9,-43.21,77.0,6.93
314,Kulu,0,TR,1595190344,22,39.1,33.08,83.46,9.01
315,Grand-Santi,56,GF,1595190344,65,4.25,-54.38,85.96,2.82
316,Yuncheng,0,CN,1595190344,57,35.02,110.99,72.63,4.05
317,Terney,100,RU,1595190345,79,45.05,136.61,59.25,1.68
318,Kulhudhuffushi,100,MV,1595190345,84,6.62,73.07,80.01,24.74
319,Trelew,100,AR,1595190345,80,-43.25,-65.31,45.93,13.8
320,Petropavlovsk-Kamchatskiy,20,RU,1595190345,100,53.05,158.65,53.6,6.71
321,Kaitangata,93,NZ,1595190345,82,-46.28,169.85,42.01,5.99
322,Nadym,50,RU,1595190345,89,65.53,72.52,48.25,14.54
323,Inhambane,20,MZ,1595190345,82,-23.86,35.38,66.2,9.44
324,Pala,94,TD,1595190345,85,9.36,14.9,74.57,5.12
325,Kiryat Gat,0,IL,1595190122,66,31.61,34.76,81.0,4.07
326,Tiarei,40,PF,1595190333,65,-17.53,-149.33,80.6,3.36
327,Port Pirie,90,AU,1595190346,75,-33.18,138.02,46.4,3.36
328,Waitati,17,NZ,1595190346,86,-45.75,170.57,42.01,3.0
329,Ginda,0,IN,1595190346,82,30.69,78.49,64.87,2.51
330,Kamaishi,79,JP,1595190346,90,39.27,141.88,65.75,1.92
331,San Angelo,75,US,1595190063,34,31.46,-100.44,96.01,8.08
332,Logan,1,US,1595190120,14,41.74,-111.83,91.0,11.97
333,Ust'-Omchug,99,RU,1595190346,58,61.15,149.63,58.71,1.5
334,Şipote,100,RO,1595190346,80,47.47,27.22,68.0,3.0
335,Hong Kong,100,HK,1595190255,74,22.29,114.16,84.0,5.99
336,Thinadhoo,100,MV,1595190346,76,0.53,72.93,83.32,16.31
337,Khandyga,11,RU,1595190347,92,62.67,135.6,68.7,2.44
338,Tsaratanana,1,MG,1595190347,64,-16.78,47.65,62.31,15.97
339,São Raimundo Nonato,0,BR,1595190061,21,-9.02,-42.7,85.05,9.66
340,Sauce,97,UY,1595190347,68,-34.65,-56.06,77.0,4.7
341,Poum,61,NC,1595190208,71,-20.23,164.02,70.52,12.59
342,Amparafaravola,62,MG,1595190347,84,-17.58,48.22,53.64,7.83
343,Lokosovo,34,RU,1595190067,83,61.13,74.82,57.85,7.09
344,Naze,40,JP,1595190250,94,28.37,129.48,80.6,5.82
345,Tuy Hoa,98,VN,1595190347,87,13.08,109.3,77.32,4.88
346,Shanghai,100,CN,1595190236,88,31.22,121.46,79.0,6.71
347,Huitziltepec,0,MX,1595190348,43,17.82,-99.47,90.0,2.48
348,Saint-François,0,FR,1595190348,53,46.42,3.91,73.4,2.73
349,Anadyr,0,RU,1595190348,66,64.75,177.48,50.0,4.47
350,Waipawa,100,NZ,1595190348,93,-41.41,175.52,46.0,2.24
351,Bambous Virieux,40,MU,1595190348,72,-20.34,57.76,68.0,12.75
352,Kushikino,100,JP,1595190348,92,31.72,130.27,77.31,6.38
353,Xai-Xai,0,MZ,1595190348,81,-25.05,33.64,62.87,6.4
354,Aitape,23,PG,1595190348,81,-3.14,142.35,76.35,4.59
355,Takoradze,5,GH,1595190348,89,4.88,-1.76,75.56,7.52
356,Codrington,29,AU,1595190348,85,-38.27,141.97,45.54,9.19
357,Port Blair,100,IN,1595190348,78,11.67,92.75,81.18,2.95
358,Rawson,100,AR,1595190349,81,-43.3,-65.1,46.27,14.0
359,Priargunsk,26,RU,1595190349,91,50.37,119.1,51.35,8.19
360,Humaitá,99,BR,1595190349,52,-7.51,-63.02,90.41,0.98
361,Isabela,95,PH,1595190349,82,6.71,121.97,77.79,2.42
362,Houma,40,US,1595190260,88,29.6,-90.72,79.0,6.93
363,Walvis Bay,0,NA,1595190349,17,-22.96,14.51,71.6,9.17
364,Goianésia,0,BR,1595190349,29,-15.32,-49.12,81.82,8.12
365,Genhe,93,CN,1595190349,93,50.78,121.52,54.73,7.2
366,Arrondissement de Beauvais,81,FR,1595190349,63,49.42,2.0,73.4,11.41
367,Mwinilunga,25,ZM,1595190349,57,-11.74,24.43,55.62,4.52
368,Abu Dhabi,0,AE,1595190349,67,24.47,54.37,100.4,8.05
369,Pitrufquén,40,CL,1595190349,62,-38.98,-72.65,59.0,10.29
370,Yinchuan,83,CN,1595190350,27,38.47,106.27,75.33,8.05
371,Korem,64,ET,1595190350,67,12.51,39.52,62.08,2.01
372,Sohag,0,EG,1595190350,24,26.56,31.69,93.2,5.82
373,Zyryanka,0,RU,1595190350,54,65.75,150.85,67.51,11.97
